name,ring,quadrant,isNew,description 
Github,adopt,platforms,FALSE,"<p><b>GitHub</b> is a code hosting platform for version control and collaboration. It lets you and others work together on projects from anywhere. This tutorial teaches you GitHub essentials like repositories, branches, commits, and Pull Requests.<br> Know more <a href=""https://github.com"">here</a> </p>"
AWS Lambda,trial,platforms,FALSE,"<p><b>AWS Lambda</b> is a serverless compute service that runs your code in response to events and automatically manages the underlying compute resources for you. You can use AWS Lambda to extend other AWS services with custom logic, or create your own back-end services that operate at AWS scale, performance, and security. AWS Lambda can automatically run code in response to multiple events, such as HTTP requests via Amazon API Gateway, modifications to objects in Amazon S3 buckets, table updates in Amazon DynamoDB, and state transitions in AWS Step Functions.<br> Know more <a href=""https://github.com"">here</a> </p>"
Rational Team Concert,adopt,platforms,FALSE,"<p><b>Rational Team Concert™</b> is a team collaboration tool that is built on a scalable, extensible platform. Rational Team Concert uses the Change and Configuration Management (CCM) application to provide features that integrate development project tasks including iteration planning, process definition, change management, defect tracking, source control, build automation, and reporting.<br> Know more <a href=""https://www.ibm.com/support/knowledgecenter/en/SSYMRC_6.0.0/com.ibm.team.concert.doc/topics/c_product-overview.html"">here</a> </p>"
Feature Flags Bancolombia,adopt,platforms,FALSE,"<p><b>Feature Flags or Feature Toogles </b>is a technique widely used by new architectures and deployment models that require the release of features in a fast and safe way for the user experience, allowing enabling or disabling features in production without the need to redeploy to all users or specific user segments, favors the practice of Trunk Based Development, as well as hot variations of features on mobile devices where it is difficult to achieve an update of all users.<br> Know more <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/6756/Cultura-Feature-Flags"">aquí</a> </p>"
UrbanCode,adopt,platforms,FALSE,"<p><b>UrbanCode</b> is a build management, deployment automation and release management solutions that can enable continuous delivery for any combination of on-premises, cloud and mainframe applications by eliminating manual, error-prone processes. <br> Know more <a href=""https://www.ibm.com/cloud/urbancode"">here</a> </p> "
Fluid Asserts,hold,platforms,FALSE,"<p><a href=""https://fluidattacks.com/resources/doc/asserts/#:~:text=Fluid%20Asserts%20is%20an%20engine,of%20many%20protocols%20(DXST)."">Fluid Asserts</a> is an engine to automate the closing of security findings over execution environments. Asserts performs Dynamic and Static Application Security Testing (DAST and SAST) and dynamic testing of many protocols (DXST). <br>Asserts reuses previously handcrafted attack vectors in order to automate the closing of vulnerabilities. This makes it particularly useful since this testing can be performed by end users as-is or as part of a continuous integration pipeline. Thus any changes to the Target of Evaluation (ToE) can be continuously tested against the closing of confirmed vulnerabilities.<br> </p>"
Kafka Streams,trial,platforms,FALSE,"<p><strong><a href=""https://kafka.apache.org/documentation/streams/"">Kafka Streams</a></strong> is a lightweight library to build streaming applications. It supports basic streaming APIs such as join, filter, map and aggregate as well as local storage for common use cases such as windowing and sessions. Unlike other stream-processing platforms such as <a href=""/radar/platforms/apache-spark"">Apache Spark</a> and <a href=""https://doc.akka.io/docs/akka-stream-kafka/current/home.html"">Alpakka Kafka</a>, Kafka Streams has been a good fit for scenarios that don't require large-scale distribution and parallel processing; hence we could get away without yet another piece of infrastructure such as cluster schedulers. Naturally, Kafka Streams has been a good choice when operating in the Kafka ecosystem. Kafka Streams is particularly useful when we have to process data strictly in order and exactly once. One particular use case of Kafka Streams is to build a <a href=""https://en.wikipedia.org/wiki/Change_data_capture#Event_Programming"">change data capture (CDC)</a> platform.</p> "
Microfrontends,assess,techniques,FALSE,"<p>We've seen significant benefits from introducing <a href=""https://martinfowler.com/articles/microservices.html"">microservices</a>, which have allowed teams to scale the delivery of independently deployed and maintained services. Unfortunately, we've also seen many teams create a frontend monolith — a large, entangled browser application that sits on top of the backend services — largely neutralizing the benefits of microservices. Since we first described <strong>micro frontends</strong> as a technique to address this issue, we've had almost universally positive experiences with the approach and have found a number of patterns to use micro frontends even as more and more code shifts from the server to the web browser. So far, <a href=""/radar/platforms/web-components-standard"">web components</a> have been elusive in this field, though.</p> "
Secrets as a service,adopt,techniques,FALSE,"<p>Humans and machines use secrets throughout the value stream of building and operating software. The build pipelines need secrets to interface with secure infrastructures such as container registries, the applications use API keys as secrets to get access to business capabilities, and the service-to-service communications are secured using certificates and keys as secrets. You can set and retrieve these secrets in different ways. We've long cautioned developers about using source code management for storing secrets. We've recommended <a href=""/radar/techniques/decoupling-secret-management-from-source-code"">decoupling secret management from source code</a> and using tools such as <a href=""/radar/tools/git-secrets"">git-secrets</a> and <a href=""/radar/tools/talisman"">Talisman</a> to avoid storing secrets in the source code. We've been using <strong>secrets as a service</strong> as a default technique for storing and accessing secrets. With this technique you can use tools such as <a href=""/radar/tools/hashicorp-vault"">Vault</a> or <a href=""https://aws.amazon.com/kms/"">AWS Key Management Service (KMS)</a> to read/write secrets over an HTTPS endpoint with fine-grained levels of access control. Secrets as a service uses external identity providers such as <a href=""https://aws.amazon.com/iam/"">AWS IAM</a> to identify the actors who request access to secrets. Actors authenticate themselves with the secrets service. For this process to work, it's important to automate bootstrapping the identity of the actors, services and applications. Platforms based on <a href=""/radar/platforms/spiffe"">SPIFFE</a> have improved the automation of assigning identities to services.</p> "
Chaos Engineering,adopt,techniques,TRUE,"<p>In the last year we have seen <strong>Chaos Engineering</strong> go from being a much talked about idea to an accepted, widely accepted idea to improve and ensure the resiliency of distributed systems. As organizations large and small begin to implement Chaos Engineering as an operational process, we are learning how to safely apply these techniques on a large scale. The approach is definitely not for everyone and to be effective and secure requires large-scale organizational support. Industry acceptance and availability of experts will definitely increase with the advent of commercial services such as <a href=""/radar/tools/gremlin"">Gremlin</a>and deployment tools such as <a href=""/radar/tools/spinnaker"">Spinnaker</a> implementing some Chaos Engineering tools. Check <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/12088/Continuous-Chaos"">here�</a> regarding Chaos Engineering in Bancolombia.</p> "
Container security scanning,adopt,techniques,FALSE,"<p>The container revolution around <a href=""/radar/platforms/docker"">Docker</a> has massively reduced the friction in moving applications between environments, fueling increased adoption of continuous delivery and continuous deployments. The latter, especially, has blown a rather large hole in the traditional controls over what can go to production. The technique of <strong>container security scanning</strong> is a necessary response to this threat vector. Tools in the build pipeline automatically check containers flowing through the pipeline against known vulnerabilities. Since our first mention of this technique, the tool landscape has matured and the technique has proven useful on development efforts with our clients.</p> "
Service mesh,assess,techniques,FALSE,"<p><strong>Service mesh</strong> is an approach to operating a secure, fast and reliable microservices ecosystem. It has been an important stepping stone in making it easier to adopt microservices at scale. It offers discovery, security, tracing, monitoring and failure handling. It provides these cross-functional capabilities without the need for a shared asset such as an API gateway or baking libraries into each service. A typical implementation involves lightweight reverse-proxy processes, aka sidecars, deployed alongside each service process in a separate container. Sidecars intercept the inbound and outbound traffic of each service and provide cross-functional capabilities mentioned above. This approach has relieved the distributed service teams from building and updating the capabilities that the mesh offers as code in their services. This has lead to an even easier adoption of <a href=""/radar/techniques/polyglot-programming"">polyglot programming</a> in a microservices ecosystem. Our teams have been successfully using this approach with open source projects such as <a href=""/radar/platforms/istio"">Istio</a> and we will continue to monitor other open service mesh implementations such as <a href=""http://linkerd.io/"">Linkerd</a> closely.</p> "
Templating in YAML,adopt,techniques,FALSE,"<p>As infrastructures grow in complexity, so do the configuration files that define them. Tools such as <a href=""https://aws.amazon.com/cloudformation/"">AWS CloudFormation</a>, <a href=""/radar/platforms/kubernetes"">Kubernetes</a> and <a href=""/radar/tools/helm"">Helm</a> expect configuration files in JSON or YAML syntax, presumably in an attempt to make them easy to write and process. However, in most cases, teams quickly reach the point where they have some parts that are similar but not quite the same, for example, when the same service must be deployed in different regions with a slightly different setup. For such cases tools offer <strong>templating in YAML</strong> (or JSON), which has caused a huge amount of <a href=""https://leebriggs.co.uk/blog/2019/02/07/why-are-we-templating-yaml.html"">frustration with practitioners</a>. The problem is that the syntax of JSON and YAML requires all sorts of awkward compromises to graft templating features such as conditionals and loops into the files. We recommend using an API from a programming language instead or, when this is not an option, a templating system in a programming language, either a general-purpose language such as Python or something specialized such as <a href=""https://jsonnet.org/"">Jsonnet</a>.</p> "
OAuth,adopt,techniques,FALSE,"<p> Oauth is an open standard for the secure handling of the authorization process of applications consuming an HTTP resource. This is provided as a framework that allows providing access from a service provider to third-party applications through authorization flows. <b>At Bancolombia we use Oauth 2.0, which is the evolution of the original Oauth standard</b></p> "
"Continuous vulnerability checking (Sonar, Kiuwan)",hold,techniques,FALSE,"<p> This practice is carried out thanks to the use of SonarQube and Kiuwan, static code analysis tools involved in the development life cycle to avoid bad coding practices in production. They act in a contextual way during the development process itself, through the use of plugins in the IDE that guarantee proactive analysis, seeking to prevent pipeline breakage, as well as in the CD pipeline, which contains the necessary tasks to execute this task. . This last inclusion in the life cycle has the ability to break the pipeline, in the case of finding any bad practice. You can see the guideline below Continuous verification of vulnerabilities (Sonar, Kiuwan)<a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/4559/Instalación-SonarLint-y-Sonar-Scanner"">Verificación continua de vulnerabilidades (Sonar, Kiuwan)​</a></p> "
Headers de Seguridad HTTP​,adopt,techniques,FALSE,"<p> the <b>http security headers</b>  are a subset of the http headers. They are configurations with a <em>key-value</em> structure, where the key is case-sensitive and followed by a colon (:) with which the external domains that can interact with our backend can be defined, through XMLhttpRequest requests made from a browser. The headers are interpreted by the browser to determine if the request to be made can be carried out.</p> "
Algorithms and encryption protocols,hold,techniques,FALSE,"<p>An encryption algorithm is a component for the security of electronic data transport. The actual mathematical steps are taken and listed when developing algorithms for encryption purposes, and different block ciphers are used to encrypt electronic data or numbers. </p> "
Security considerations in cloud native applications,hold,techniques,FALSE,"<p> Las <b>Security considerations in Cloud-native applications are carried out through the<a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/594/Desarrollo-seguro"">Software Engineering Practices for Secure Development or DevSecOps</a>, which seek to shield the application as much as possible against the different threats and security risks, avoiding vulnerabilities. of various kinds that make possible a materialization of the threat, through mechanisms such as security in Docker images, storage of tokens in SPAs, generation and management of digital certificates, use of linters and static analysis of code such as SonarLint and Sonar Scanner, among others.</b></p> "
Strong eventual consistency (ACID 2.0)​,adopt,techniques,TRUE,"<p><b>ACID</b> is an acronym that stands for Atomicity, Consistency, Isolation and Durability, characteristics of SQL databases, and that basically guarantee consistency and availability but are not easily distributed or tolerant to partitioning as indicated in the  <a href=""https://grupobancolombia.visualstudio.com/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/1773/Tipos-de-bases-de-datos"">CAP theorem</a>. There is Eventual Consistency when there is Eventual Delivery, Convergence and Termination. Strong Eventual Consistency occurs when there is Strong Convergence. This practice is often a good option for keeping data immutable in distributed systems, but it is not suitable for all cases. You can see below the guideline on <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/9425/Strong-Eventual-Consistency-(ACID-2.0)"">Strong Eventual Consistency (ACID 2.0)</a></p> "
CQRS,trial,techniques,FALSE,"<p> <b>CQRS (Command Query Responsibility Segregation)</b> is an architectural pattern in which we have two differentiated subsystems, one responsible for the commands, and the other responsible for the queries, that is, reading and writing go through paths different. </p>"
Conflict-free replicated data types (CRDTs)​,trial,techniques,FALSE,"<p>A <b>Conflict-free Replicated Data Type (CRDT)</b> is a data structure that simplifies distributed data storage systems and multi-user applications. <br>In many systems, copies of some data need to be stored on multiple computers (known as replicas). Examples of such systems include: Mobile apps; Distributed databases; Collaboration software, such as Google Docs, Trello, Figma and Large-scale data storage and processing systems. <br>All such systems need to deal with the fact that the data may be concurrently modified on different replicas. Broadly speaking, there are two possible ways of dealing with such data modifications: Strongly consistent replication and Optimistic replication. <br> Know more <a href=""https://crdt.tech"">here</a></p> "
Consistency and effective use of cache,trial,techniques,FALSE,"<p>Distributed in-memory application data caches like memcached are a popular solution for scaling database-driven web sites. These systems are easy to add to existing deployments, and increase performance significantly by reducing load on both the database and application servers. Unfortunately, such caches do not integrate well with the database or the application. They cannot maintain transactional consistency across the entire system, violating the isolation properties of the underlying database. <br>They leave the application responsible for locating data in the cache and keeping it up to date, a frequent source of application complexity and programming errors. <br>Addressing both of these problems, there are options as transactional caches. Some cases shows that adding a transactinoal cache can increase the throughput of a web application by up to 5.2×, only slightly less than a non-transactional cache, showing that consistency does not have to come at the price of performance.<br> Know more reading the article<a href=""https://drkp.net/papers/txcache-osdi10.pdf"">Transactional Consistency and Automatic Management in an Application Data Cache</a>, published by Dan R. K. Ports, Austin T. Clements, Irene Zhang, Samuel Madden and Barbara Liskov in MIT CSAIL. </p>"
Consistency in transactions and distributed processes,trial,techniques,FALSE,"<p>The concepts of transaction and of data consistency are defined for a distributed system. The cases of partitioned data, where fragments of a file are stored at multiple nodes, and replicated data, where a file is replicated at several nodes, are discussed. It is argued that the distribution and replication of data should be transparent to the programs which use the data. That is, the programming interface should provide location transparency, replica transparency, concurrency transparency, and failure transparency. Techniques for providing such transparencies are abstracted and discussed. <br>By extending the notions of system schedule and system clock to handle multiple nodes, it is shown that a distributed system can be modeled as a single sequential execution sequence. This model is then used to discuss simple techniques for implementing the various forms of transparency. <br>All such systems need to deal with the fact that the data may be concurrently modified on different replicas. Broadly speaking, there are two possible ways of dealing with such data modifications: Strongly consistent replication and Optimistic replication. <br> Know more <a href=""https://dl.acm.org/doi/10.1145/319732.319734"">official paper</a> </p>"
Compensation transactions- Saga pattern,trial,techniques,FALSE,"<p>At very first, Saga pattern was proposed by Hector García-Molina and Kenneth Salem as a sophisticated solution for the Long lived Transactions problem. A LLT is a saga if it can be written as a sequence of transactions that can be interleaved with other transactions The database management system guarantees that either all the transactions m a saga are successfully completed or compensatmg transactions are run to amend a partial execution Both the concept of saga and its lmplementation are relatively simple, but they have the potential to improve performance slgmficantly. Chris Richardsion defines a saga as <i>a sequence of local transactions. Each local transaction updates the database and publishes a message or event to trigger the next local transaction in the saga. If a local transaction fails because it violates a business rule then the saga executes a series of compensating transactions that undo the changes that were made by the preceding local transactions.</i><br> Know more reading the original García-Molina and Salem's paper titled<a href=""https://www.cs.cornell.edu/andru/cs711/2002fa/reading/sagas.pdf""> Sagas</a> and <a href=""https://microservices.io/patterns/data/saga.html"">Chris Richardson's definition</a> </p>"
Immutable data / Append-Only Apps,trial,techniques,FALSE,"<p>Immutable data / Append-Only Apps​ are qualities contained within append-only computing. In append-only computing, observations are recorded forever (or for a long time). Derived results are calculated on demand (or periodically precalculated). <br>This is similar to a DBMS (database management system) in which transaction logs record all the changes made to the database. High-speed appends are the only way to change the log. From this perspective, the contents of the database hold a caching of the latest record values in the logs. The truth is the log. The database is a cache of a subset of the log. That cached subset happens to be the latest value of each record and index value from the log. <br>You can learn more about <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/12436/Event-First-Domain-driven-Design-(DDD)"">Immutable data / Append-Only Apps​</a> </p>"
Limitations and characteristics of different SQL/NoSQL distributed data models,assess,techniques,FALSE,"<p>Currently there is a wide range of both type and brand, each with a defined objective and capabilities. For this reason, it is important to know the guide to recognize the <b>Limitations and characteristics of different SQL/NoSQL​</b> distributed data models. <br>Let us remember Brewer's theorem or CAP theorem, which mentions three characteristics, indicating that databases can only take two: <br>In the case of relational databases (Relational Data Base Management Systems) Usually you have Consistency and Availability, while non-relational databases usually have a combination of Availability and Partitioning or Consistency and Partitioning.<br> Learn more about this guide <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/1773/Tipos-de-bases-de-datos"">here�</a> </p>"
Retry and idempotence,adopt,techniques,FALSE,"<p> Retry is a fairly simple pattern that is useful when you get an unexpected response or no response at all. Simply, it is about the number of retries that an application can execute in order to obtain the expected response for a request. In order for the pattern to be used successfully, the retries must be able to be configured a certain number of times. It is useful when there are network problems, internal errors of the consumed server, because there are no responses or they are very slow. It is useless if the component to consume is overloaded with requests. In Bancolombia, the Retry pattern is not applied alone, it is done in conjunction with <b>Circuit Breaker</b>. It is often useful for some operations that use Retry to be idempotent. <b>Idempotency</b> is a property used in mathematics and computer science, where certain operations can be applied multiple times without changing the result after the first interaction. It is applied in scenarios where the client can make retries on the request and where these can generate untimely changes or damage. Apply Idempotence preferably in relevant operations, as this operation can add latencies, so it is not recommended in all operations. This can be done through the use of <b>idempotence http headers</b>. See the guidelines of <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/8547/Circuit-breakers-and-Fallback-strategy"">Retry</a> e <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/7826/Idempotencia""> Idempotence</a></p> "
Location Transparency​,trial,techniques,FALSE,"<p>Location Transparency is a quality of a distributed systems that allows decoupling in space (see the the definition for Isolation), enabled through asynchronous message-passing, and decoupling of the runtime instances from their references. This approach is ideal for non static system topology and deployment model upfront scenarios. <br>Know more <a href=""https://www.reactivemanifesto.org/glossary#Location-Transparency"">here</a> </p>"
Fault tolerance and recovery patterns,trial,techniques,FALSE,"<p>Fault Tolerance y Recovery pattern hacen referecia a los patrones de Circuit Breaker, Fallback y Retry. Conoce más de ellos en el lineamiento sobre <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/8547/Circuit-breakers-and-Fallback-strategy"">Circuit breakers, Retry and Fallback strategy</a> </p>"
Health check/K8,adopt,techniques,FALSE,"<p> <b>Health check</b> is a pattern used to tell the system if everything is fine with an instance of the application that is deployed. To carry out this practice in Bancolombia, we rely on the capabilities provided by k8s for it, <b>Liveness</b> and <b>Readiness probes</b>, which seek to indicate if an instance is responding and when ready after getting up, respectively.</p>"
Self Healing deployments (Container orchestation),adopt,techniques,FALSE,"<p><b>Self-healing deployments</b> is a practice that guarantees the high availability of applications. To achieve a self-healing infrastructure, you need a tool that does such a job. At Bancolombia we have it and this is Kubernetes. In this case, the same tool that orchestrates the containers in the Cloud cluster is the one that acts as the curator of the deployments. The native Kubernetes container orchestrator capabilities make this possible, without requiring additional use of other Kubernetes capabilities. This is achieved with the proper configuration of the <b>deployment.yaml</b> file. However, it is possible to optimize this task with the use of the Kubernetes probes (Liveness and Readiness), thus favoring high availability and responsiveness of the applications. You can see below the practices that favor Self-healing: <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/7363/Health-Check"">Health check.</a></p> "
Concurrency safe code,adopt,techniques,FALSE,"<p> Concurrency safe code uses certain techniques to address best practices to help you write clear and correct concurrent programs. With this practice, the typical and undesirable problems of concurrent systems, with multiple threads, frequent in languages such as Java, are solved. As Bancolombia has the majority of legacy and cloud-native applications made in this concurrent language, it is necessary to specify the compliance of these techniques in the code. Some of these techniques are Stateless implementations, Immutable implementations, Atomic Variable Class, among many others, contained in the guideline of <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/8157/Concurrency-Safe-Code%E2%80%8B"">Concurrency Safe Code</a></p> "
Fault isolation / Isolate all the things - Bulkheading.,hold,techniques,FALSE,"<p>Bulkheads are used in ships to create seperate watertight compartments which serve to limit the effect of a failure - ideally preventing the ship from sinking. If water breaks through the hull in one compartment, the bulkheads prevent it from flowing into other compartments, limiting the scope of the failure. <br>This same concept is useful in the architecture of large systems for the same reason - limiting the scope of failure. <br>Know more <a href=""https://skife.org/architecture/fault-tolerance/2009/12/31/bulkheads.html"">here</a> </p>"
Traceable and observable systems / logs management (Back/front) ,trial,techniques,FALSE,"<p><b>Traceable and observable systems / logs management (Back/front) (Observability/audit))</b> help verify that developments are refined and working correctly. In addition, it helps analysts to understand any strange platform behavior and ensure that there is no failing method. Unfortunately, in many cases they fail to define and implement effective traceability, because the traces are created without following the standards, generating inconsistencies in the information recorded and, often, incomplete. <br>Learn more <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/8238/Traceable-and-observable-systems-logs-management"">aquí</a> </p>"
Fallback strategy and Circuit breakers,adopt,techniques,FALSE,"<p>The <b>Circuit Breaker</b> pattern consists of encapsulating and monitoring the requests, resulting in three phases of the circuit: open circuit (the operations are not executed and an auxiliary pattern such as fail fast or fallback is used). ), half-open circuit (temporary and periodic execution of requests) and closed circuit (all invocations to the service are executed). Fallback is a pattern that consists of looking for an alternative that processes the request successfully while the main service is not available, or returning empty information when it is optional information. You can see the complete guideline on <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/8547/Circuit-breakers-and-Fallback-strategy"">Circuit breakers and Fallback strategy</a></p> "
Replication and redundance,trial,techniques,FALSE,"<p><strong> Redundancy:</strong> describes the fact that you have more than one node/component/process in a system and it's pretty useful for handling failovers. In the case that one of your nodes fail, another node in the system can take over and carry on. <br><strong> Replication:</strong> includes redundancy, but involves the copying of data from one node to another or the synchronization of state between nodes. An example of where replication is done is at the databases or MQs level that forms a cluster</p> "
Asynchronous and non-blocking streams,assess,techniques,FALSE,"<p>Reactor and other reactive programming frameworks offer the possibility of developing non-blocking threads on top of the JVM. When we talk about a non-blocking stream, we mean an asynchronous stream that allows efficient management of demand (backpressure) and integrates directly with the functional APIs of Java 8. <br>One of the advantages of asynchronous streams is that they do not lock the system completely but allow parallel execution of asynchronous processes. This is made possible by the Reactive Streams specification, an initiative that provides a standard for non-blocking backpressure asynchronous stream processing. <br>Learn more  <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/16136/Uso-de-Flujos-asíncronos-y-no-bloqueantes"">here�</a> </p>"
Event Sourcing,adopt,techniques,FALSE,"<p><b>Event Sourcing</b> is an architectural pattern that is responsible for capturing all the changes that may occur in the application as a sequence of events. You can see the complete guideline on <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/10834/Event-Sourcing"">Event Sourcing</a></p> "
Event first Domain driven design,adopt,techniques,FALSE,"<p><b>Event-First Domain-driven Design (DDD)</b> refers to a set of design principles that have been used for some years and have proven to be of great utility for building large-scale distributed systems. <br>It consists of understanding the essence of a domain from the flow of data and not from isolated entities, becoming an alternative to traditional software design. This alternative seeks an interdisciplinary understanding of the problem to be solved, without focusing only on filling out templates and formats, but mainly on telling stories from a business language. <br>Learn more <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/12436/Event-First-Domain-driven-Design-(DDD)"">here�</a> </p>"
"Event Streaming Platforms (Event streams) / ""data at rest"" to ""data in motion.""",assess,techniques,FALSE,"<p> Also known as event stream processing, Data Streaming is the continuous flow of data generated by one or multiple sources of information, whose information can be stored, processed and analyzed as it is generated in real time, it must be kept in mind that the use of Data Stream implies the treatment of data by data of a set of information, instead of treating all the data at a given moment, thus making a leap from the concept of data at rest (data at rest) towards data in motion (data in motion). </p>"
Event driven architecture (Commands and Events),adopt,techniques,FALSE,"<p>When we talk about microservices architecture, we mean at a high level a set of independent modules that collaborate to achieve a larger business goal. A reactive system is a robust distributed system, for which the message-driven asynchronous communication approach is essential. The event-driven architecture paradigm is a distributed asynchronous architecture model used to produce highly scalable applications composed of single-purpose, highly decoupled event processing components that receive and process events asynchronously. The practice set forth in this definition focuses primarily on the semantics of commands and events. <br>Learn more  <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/11539/Event-driven-architecture-(Commands-and-Events)"">here�</a> </p>"
Fuctional reactive programming,adopt,techniques,FALSE,"<p>When we talk about reactive systems we refer to distributed systems with certain qualities, which although they were compiled and described concisely in the reactive systems manifesto, it does not mean that these qualities are new or previously unknown. In fact, the vast majority of its fundamental principles date back to the design and implementation of Erlang/OTP by Ericsson, whose development began in the late 1980s. <br>Reactive programming will be the basis in many contexts for improving responsiveness, facilitating the management of asynchronous flows, in addition to increasing scalability and efficiency in the use of resources.<br>In addition, to achieve a high emphasis on the maintainability and extensibility of the system, n both <b>functional programming principles and patterns</b>, as well as a disciplined separation of responsibilities and levels of abstraction in the software structure. <br>Learn more <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/13807/Foundation-Sistemas-Reactivos"">here�</a> </p>"
"Message Retry strategies: Dead letters, queue backlogs... manual message retry",assess,techniques,FALSE,"<p>When a certain action can fail and you want the system to be resilient to this particular failure, in some cases the approach should be to simply let another, higher-level component handle the failure, but in others you should enable patterns of failure. fault tolerance such as: Alternative flows (fallback), Default values in case of error, Controlled retries with an exponential 'backoff' (wait time between retries).</p>"
Elastic (Auto scale out/down) deployments -Container Orchestation,adopt,techniques,FALSE,"<p><b>Autoscale up and down</b> is a practice that seeks to autoscale Cloud-native applications. Obviously, it supports the scalability of solutions in Bancolombia. Cloud native technologies like Kubernetes allow you to build applications that adapt to changing loads. Kubernetes <b> Autoscaling </b> allows us to define a variable capacity for an application, which is not fixed, but guarantees enough capacity to handle a different load. The most direct approach to achieving such behavior is by using a <b>Horizontal Pod Autoscaler (HPA)</b> to horizontally scale the number of pods in the architecture. Find the definition in the wiki below: <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/1977/HPA-Horizontal-Pod-Autoscaling"">HPA</a></p> "
Concurrency models optimized for asynchronous and high concurrency,assess,techniques,FALSE,"<p> Concurrent programming deals with the study and development of programs that can perform several tasks at the same time. When combined with an asynchronous model, threads are not blocked, making the system more fault tolerant</p>"
Reactive programming,assess,techniques,FALSE,"<p>When we talk about reactive systems we refer to distributed systems with certain qualities, which although they were compiled and described concisely in the reactive systems manifesto, it does not mean that these qualities are new or previously unknown. In fact, the vast majority of its fundamental principles date back to the design and implementation of Erlang/OTP by Ericsson, whose development began in the late 1980s. <br>Reactive programming will be the basis in many contexts for improving responsiveness, facilitating the management of asynchronous flows, in addition to increasing scalability and efficiency in the use of resources.<br>In addition, to achieve a high emphasis on the maintainability and extensibility of the system, n both <b>functional programming principles and patterns</b>, as well as a disciplined separation of responsibilities and levels of abstraction in the software structure. <br>Learn more <a href=""https://dev.azure.com/GrupoBancolombia/Vicepresidencia%20Servicios%20de%20Tecnología/_wiki/wikis/Vicepresidencia%20Servicios%20de%20Tecnología.wiki/13807/Foundation-Sistemas-Reactivos"">here�</a> </p>"
